post_id,caption_text,topic,hashtags_count,post_length,likes,shares,comments,is_viral
1,hard work always pays off,tech,8,254,13040,2576,4363,0
2,hard work always pays off,education,8,163,27166,9011,1899,1
3,hard work always pays off,,10,67,23785,1074,728,1
4,learning ai is the future,news,5,80,5086,6724,1149,1
5,stay consistent and grow,meme,0,280,33801,5569,5407,0
6,this post will change your life,meme,0,28,45106,2744,1380,1
7,,news,8,298,32453,2958,6916,1
8,,,14,49,33963,4180,7736,0
9,stay consistent and grow,,2,198,27673,2660,6430,1
10,stay consistent and grow,meme,4,268,7370,3405,2974,0
11,hard work always pays off,meme,5,38,42318,6002,743,0
12,,tech,0,142,48595,8833,4891,1
13,,motivation,14,167,41707,794,6108,1
14,this post will change your life,tech,0,59,13307,7028,5415,0
15,this post will change your life,news,3,30,29682,1042,308,1
16,this post will change your life,news,5,72,45972,4713,1819,1
17,hard work always pays off,motivation,7,137,5722,3055,7715,1
18,breaking news happening now,tech,6,91,18461,8349,5452,0
19,this post will change your life,tech,13,83,38542,4592,4210,1
20,learning ai is the future,tech,1,279,19023,6217,5497,0
21,learning ai is the future,education,3,43,27770,8158,7785,1
22,this post will change your life,,4,235,20714,4242,3491,1
23,this post will change your life,education,7,211,36282,484,5746,0
24,this post will change your life,tech,6,44,41829,8462,117,1
25,,education,3,110,31059,6043,4562,1
26,learning ai is the future,tech,7,275,4053,6705,7730,0
27,coding memes are funny,news,10,292,837,4896,464,1
28,breaking news happening now,tech,7,62,23403,6264,4648,1
29,coding memes are funny,education,3,60,5619,5461,1332,0
30,learning ai is the future,motivation,10,107,47719,6341,7407,0
31,learning ai is the future,news,11,56,3268,641,5434,1
32,hard work always pays off,meme,11,233,40756,3562,6505,1
33,coding memes are funny,motivation,1,212,3274,1194,1982,0
34,this post will change your life,motivation,14,288,42113,1177,77,1
35,stay consistent and grow,,13,100,16029,8772,6734,0
36,,meme,2,252,10887,9494,4528,1
37,this post will change your life,news,4,169,15143,3973,6331,1
38,learning ai is the future,,13,194,46969,572,3742,0
39,hard work always pays off,meme,0,9,48784,2036,3027,1
40,coding memes are funny,news,4,176,30438,2400,2050,1
41,hard work always pays off,news,3,133,46178,4889,4390,1
42,breaking news happening now,,4,248,24772,7948,5541,0
43,hard work always pays off,news,11,240,16447,9615,3239,1
44,breaking news happening now,motivation,11,261,40399,9342,1949,1
45,,news,0,147,2083,8491,3015,1
46,coding memes are funny,,9,206,27214,157,5143,1
47,this post will change your life,meme,6,5,14326,4225,2964,1
48,breaking news happening now,motivation,9,238,35504,4931,2367,0
49,this post will change your life,news,8,45,43088,7372,2994,0
50,,education,4,281,20172,549,2075,1
51,,education,2,243,6679,7632,4787,0
52,hard work always pays off,news,8,223,618,9366,2940,0
53,hard work always pays off,education,5,56,40579,8687,2646,0
54,,tech,11,203,10990,1080,2439,1
55,coding memes are funny,,5,296,40427,8392,1608,1
56,this post will change your life,motivation,9,284,26221,3854,676,0
57,coding memes are funny,tech,9,103,15805,3905,7993,1
58,breaking news happening now,motivation,12,72,9724,1244,717,0
59,hard work always pays off,meme,2,253,18056,3790,819,0
60,hard work always pays off,education,13,262,31513,6082,2793,1
61,hard work always pays off,education,0,95,37678,9105,3987,0
62,stay consistent and grow,,3,108,22415,1508,7134,0
63,hard work always pays off,education,13,258,42217,6115,6667,0
64,,news,3,252,49258,1830,5586,1
65,hard work always pays off,motivation,2,109,45509,774,2531,0
66,breaking news happening now,news,12,230,46346,86,4695,0
67,breaking news happening now,education,13,267,6017,379,3975,0
68,,meme,10,61,49117,7961,5717,1
69,coding memes are funny,education,4,177,46870,4211,7451,1
70,learning ai is the future,,12,130,27822,1870,7399,0
71,hard work always pays off,news,13,97,15165,5527,1243,0
72,hard work always pays off,education,8,125,37195,8407,1427,1
73,learning ai is the future,tech,8,229,29674,6093,5794,1
74,coding memes are funny,tech,7,7,9635,6652,6550,0
75,breaking news happening now,news,11,108,49597,2911,1050,1
76,hard work always pays off,tech,9,164,46701,7906,7877,1
77,coding memes are funny,motivation,5,215,23529,9120,1013,1
78,learning ai is the future,,12,278,2851,5505,3953,1
79,breaking news happening now,motivation,3,185,22092,8396,977,1
80,breaking news happening now,,13,80,21831,7100,5693,0
81,coding memes are funny,,1,164,38872,5089,697,1
82,this post will change your life,news,11,10,30039,5706,484,1
83,this post will change your life,tech,12,170,4775,9188,5919,0
84,stay consistent and grow,motivation,9,286,22924,395,226,1
85,stay consistent and grow,tech,2,204,36700,1617,3245,1
86,this post will change your life,education,8,78,2794,332,4370,1
87,,,0,218,18980,6112,5208,0
88,learning ai is the future,tech,6,230,17658,8625,776,0
89,this post will change your life,tech,9,113,21137,4995,7295,1
90,coding memes are funny,news,5,119,26529,5796,1984,0
91,breaking news happening now,education,1,260,9593,7913,4741,1
92,coding memes are funny,motivation,4,90,42270,9419,3665,1
93,coding memes are funny,,1,10,38478,1988,3579,0
94,hard work always pays off,,13,296,27987,5848,1188,1
95,learning ai is the future,,8,131,43867,4403,7375,1
96,breaking news happening now,motivation,4,271,36419,8782,7114,0
97,hard work always pays off,,5,38,11207,8147,5713,0
98,,tech,3,263,13241,7654,5676,1
99,learning ai is the future,meme,14,245,45951,3403,3322,1
100,breaking news happening now,meme,0,109,42193,7317,7445,0
101,hard work always pays off,,14,119,32095,1751,7148,0
102,stay consistent and grow,motivation,2,252,48052,7891,2124,0
103,this post will change your life,tech,4,296,5718,3311,3626,0
104,coding memes are funny,tech,2,213,61,7097,6828,0
105,stay consistent and grow,education,7,98,11342,972,5960,1
106,this post will change your life,news,1,34,28934,5784,6710,0
107,breaking news happening now,meme,11,66,879,2767,7136,0
108,stay consistent and grow,,14,247,33950,3037,7365,0
